instance_id,n_groups,n_per_group,n_rounds,mzn_has_solution,mzn_time_exceeded,mzn_cost,mzn_duration_seconds,sim_has_solution,sim_time_exceeded,sim_cost,sim_duration_seconds
g1,3,2,2,True,False,0,0.2885,True,False,0,0.0002
g2,3,2,3,True,False,0,0.2974,True,False,0,0.0001
g3,3,2,4,True,False,0,0.3064,True,False,0,0.004
g4,3,2,5,True,True,2,10.1684,True,False,0,0.0483
g5,3,2,6,True,True,7,10.1646,True,True,3,10.0
g6,3,2,7,True,True,18,10.167,True,True,6,10.0
g7,3,2,8,True,True,35,10.1639,True,True,9,10.0001
g10,3,3,2,True,False,0,0.3267,True,False,0,0.0002
g11,3,3,3,True,False,0,1.2821,True,False,0,0.0057
g8,3,2,9,True,True,58,10.1623,True,True,12,10.0001
g12,3,3,4,True,True,7,10.1904,True,False,0,0.4663
g9,3,2,10,True,True,87,10.1778,True,True,15,10.0
g13,3,3,5,True,True,26,10.211,True,True,9,10.0
g14,3,3,6,True,True,63,10.2221,True,True,18,10.0001
g15,3,3,7,True,True,118,10.2327,True,True,31,10.0
g16,3,3,8,True,True,191,10.2506,True,True,50,10.0001
g17,3,3,9,True,True,282,10.2595,True,True,71,10.0
g18,3,3,10,True,True,391,10.2907,True,True,92,10.0001
g19,3,4,2,True,True,3,10.2404,True,True,3,10.0
g20,3,4,3,True,True,27,10.3005,True,True,9,10.0
g21,3,4,4,True,True,87,10.3475,True,True,18,10.0001
g22,3,4,5,True,True,183,10.3797,True,True,34,10.0001
g23,3,4,6,True,True,315,10.4474,True,True,60,10.0001
g24,3,4,7,True,True,483,10.4954,True,True,94,10.0
g25,3,4,8,True,True,687,10.5233,True,True,138,10.0
g26,3,4,9,True,True,927,10.62,True,True,192,10.0001
g27,3,4,10,True,True,1203,10.6265,True,True,251,10.0001
g28,3,5,2,True,True,18,10.4188,True,True,6,10.0
g29,3,5,3,True,True,84,10.5337,True,True,18,10.0001
g30,3,5,4,True,True,210,10.6583,True,True,37,10.0002
g31,3,5,5,True,True,396,10.8385,True,True,71,10.0001
g32,3,5,6,True,True,642,10.9361,True,True,121,10.0001
g33,3,5,7,True,True,948,11.0973,True,True,190,10.0
g37,4,2,2,True,False,0,0.2896,True,False,0,0.0001
g38,4,2,3,True,False,0,0.2921,True,False,0,0.0007
g39,4,2,4,True,False,0,0.3178,True,False,0,0.0003
g40,4,2,5,True,False,0,0.3894,True,False,0,0.0244
g41,4,2,6,True,False,0,0.4367,True,False,0,0.0893
g34,3,5,8,True,True,1314,11.3432,True,True,267,10.0001
g35,3,5,9,True,True,1740,11.3092,True,True,369,10.0
g36,3,5,10,True,True,2226,11.4518,True,True,484,10.0002
g42,4,2,7,True,True,3,10.1782,True,True,2,10.0001
g46,4,3,2,True,False,0,0.4344,True,False,0,0.0003
g47,4,3,3,True,False,0,0.8239,True,False,0,0.0106
g43,4,2,8,True,True,16,10.1854,True,True,5,10.0001
g44,4,2,9,True,True,34,10.1888,True,True,9,10.0001
g45,4,2,10,True,True,60,10.1949,True,True,12,10.0001
g48,4,3,4,True,True,1,10.2833,True,True,2,10.0
g49,4,3,5,True,True,27,10.2965,True,True,6,10.0001
g50,4,3,6,True,True,81,10.3667,True,True,15,10.0
g51,4,3,7,True,True,153,10.3847,True,True,28,10.0001
g52,4,3,8,True,True,249,10.4588,True,True,43,10.0001
g53,4,3,9,True,True,369,10.4624,True,True,59,10.0
g55,4,4,2,True,True,9,10.371,True,False,0,0.0025
g54,4,3,10,True,True,513,10.5147,True,True,87,10.0001
g56,4,4,3,True,True,51,10.484,True,True,2,10.0
g57,4,4,4,True,True,141,10.6176,True,True,11,10.0001
g58,4,4,5,True,True,279,10.7375,True,True,28,10.0
g59,4,4,6,True,True,465,10.8418,True,True,47,10.0001
g60,4,4,7,True,True,699,10.9491,True,True,83,10.0
g61,4,4,8,True,True,981,11.1062,True,True,116,10.0002
g62,4,4,9,True,True,1311,11.2308,True,True,167,10.0001
g63,4,4,10,True,True,1689,11.3424,True,True,221,10.0001
g64,4,5,2,True,True,28,10.7509,True,True,4,10.0
g65,4,5,3,True,True,124,11.0522,True,True,12,10.0001
g66,4,5,4,True,True,300,11.3911,True,True,29,10.0
g67,4,5,5,True,True,556,11.6997,True,True,63,10.0001
g68,4,5,6,True,True,892,12.1028,True,True,107,10.0
g69,4,5,7,True,True,1308,12.3963,True,True,158,10.0001
g73,5,2,2,True,False,0,0.4322,True,False,0,0.0002
g74,5,2,3,True,False,0,0.4035,True,False,0,0.0002
g75,5,2,4,True,False,0,0.4855,True,False,0,0.0003
g70,4,5,8,True,True,1804,12.7961,True,True,244,10.0002
g76,5,2,5,True,False,0,0.5449,True,False,0,0.0052
g77,5,2,6,True,False,0,0.7741,True,False,0,0.1772
g71,4,5,9,True,True,2380,12.9825,True,True,329,10.0001
g78,5,2,7,True,False,0,1.0579,True,True,1,10.0
g72,4,5,10,True,True,3036,13.2482,True,True,433,10.0
g82,5,3,2,True,False,0,0.6876,True,False,0,0.0019
g83,5,3,3,True,False,0,1.7795,True,False,0,0.0025
g79,5,2,8,True,True,14,10.2215,True,True,3,10.0
g80,5,2,9,True,True,41,10.2383,True,True,7,10.0001
g81,5,2,10,True,True,101,10.2481,True,True,10,10.0001
g84,5,3,4,True,True,6,10.4005,True,True,1,10.0
g85,5,3,5,True,True,27,10.4685,True,True,6,10.0001
g86,5,3,6,True,True,100,10.5701,True,True,12,10.0001
g87,5,3,7,True,True,192,11.1185,True,True,24,10.0001
g88,5,3,8,True,True,350,12.9454,True,True,38,10.0001
g91,5,4,2,True,True,15,10.6448,True,False,0,0.0007
g89,5,3,9,True,True,539,13.0171,True,True,54,10.0
g90,5,3,10,True,True,752,13.2986,True,True,74,10.0001
g92,5,4,3,True,True,75,10.8925,True,False,0,0.0987
g93,5,4,4,True,True,195,11.1865,True,True,9,10.0001
g94,5,4,5,True,True,375,11.3945,True,True,25,10.0
g95,5,4,6,True,True,615,11.6655,True,True,46,10.0001
g96,5,4,7,True,True,915,11.8001,True,True,74,10.0
g100,5,5,2,True,True,38,11.4409,True,False,0,0.0083
g97,5,4,8,True,True,1275,12.1206,True,True,97,10.0
g98,5,4,9,True,True,1695,12.3318,True,True,159,10.0001
g99,5,4,10,True,True,2175,12.5445,True,True,209,10.0001
g101,5,5,3,True,True,164,12.0585,True,True,6,10.0
g102,5,5,4,True,True,390,12.8731,True,True,29,10.0001
g103,5,5,5,True,True,716,13.3992,True,True,60,10.0
g104,5,5,6,True,True,1142,13.9082,True,True,96,10.0001
g105,5,5,7,True,True,1668,14.5732,True,True,153,10.0001
g109,6,2,2,True,False,0,0.3604,True,False,0,0.0001
g110,6,2,3,True,False,0,0.4112,True,False,0,0.0003
g111,6,2,4,True,False,0,0.5516,True,False,0,0.0013
g112,6,2,5,True,False,0,0.8055,True,False,0,0.001
g106,5,5,8,True,True,2294,14.9335,True,True,230,10.0002
g113,6,2,6,True,False,0,1.2752,True,False,0,0.1045
g114,6,2,7,True,False,0,2.0675,True,False,0,0.83
g107,5,5,9,True,True,3020,15.8335,True,True,302,10.0001
g108,5,5,10,True,True,3846,17.8614,True,True,400,10.0002
g118,6,3,2,True,False,0,1.1215,True,False,0,0.0004
g119,6,3,3,True,False,0,3.2742,True,False,0,0.0017
g115,6,2,8,True,False,0,7.9102,True,True,2,10.0
g120,6,3,4,True,True,14,10.602,True,False,0,0.7067
g116,6,2,9,True,True,24,10.315,True,True,6,10.0001
g117,6,2,10,True,True,86,10.3217,True,True,8,10.0
g121,6,3,5,True,True,50,12.9318,True,True,4,10.0001
g122,6,3,6,True,True,173,13.1697,True,True,11,10.0001
g123,6,3,7,True,True,342,13.2753,True,True,20,10.0
g124,6,3,8,True,True,541,13.1469,True,True,34,10.002
g127,6,4,2,True,True,21,11.2449,True,False,0,0.0009
g128,6,4,3,True,True,99,11.5523,True,False,0,0.1622
g125,6,3,9,True,True,755,13.9902,True,True,53,10.0002
g126,6,3,10,True,True,1026,13.6998,True,True,73,10.0002
g129,6,4,4,True,True,249,11.79,True,True,8,10.0001
g130,6,4,5,True,True,471,12.3143,True,True,22,10.0001
g131,6,4,6,True,True,765,12.5917,True,True,43,10.0001
g132,6,4,7,True,True,1131,13.0697,True,True,72,10.0001
g133,6,4,8,True,True,1569,13.5647,True,True,107,10.0002
g134,6,4,9,True,True,2079,14.002,True,True,133,10.0001
g136,6,5,2,True,True,48,12.3223,True,False,0,0.0071
g135,6,4,10,True,True,2661,15.8113,True,True,197,10.0002
g137,6,5,3,True,True,204,13.4556,True,True,6,10.0001
g138,6,5,4,True,True,480,14.6179,True,True,26,10.0001
g139,6,5,5,True,True,876,15.6098,True,True,56,10.0001
g140,6,5,6,True,True,1392,17.0778,True,True,89,10.0002
g141,6,5,7,False,True,0,15.639,True,True,148,10.0001
g145,7,2,2,True,False,0,0.4021,True,False,0,0.0001
g146,7,2,3,True,False,0,0.571,True,False,0,0.0001
g147,7,2,4,True,False,0,0.7962,True,False,0,0.0008
g148,7,2,5,True,False,0,1.3279,True,False,0,0.0079
g142,6,5,8,False,True,0,16.7403,True,True,209,10.0001
g149,7,2,6,True,False,0,2.2167,True,False,0,0.0171
g143,6,5,9,False,True,0,17.2975,True,True,295,10.0001
g150,7,2,7,True,False,0,3.6542,True,False,0,3.0633
g144,6,5,10,False,True,0,17.4642,True,True,393,10.0004
g154,7,3,2,True,False,0,1.76,True,False,0,0.0003
g151,7,2,8,True,False,0,6.252,True,True,1,10.0
g155,7,3,3,True,False,0,5.7863,True,False,0,0.0047
g152,7,2,9,True,True,53,10.4153,True,True,4,10.0002
g153,7,2,10,True,True,48,10.9882,True,True,4,10.0001
g156,7,3,4,True,True,15,12.6963,True,False,0,0.1704
g157,7,3,5,True,True,117,13.8035,True,True,4,10.0001
g158,7,3,6,True,True,274,14.0627,True,True,10,10.0
g159,7,3,7,True,True,462,14.2679,True,True,23,10.0001
g160,7,3,8,True,True,704,14.2266,True,True,35,10.0
g163,7,4,2,True,True,27,11.5315,True,False,0,0.0006
g164,7,4,3,True,True,123,12.0988,True,False,0,0.6482
g161,7,3,9,True,True,977,14.0703,True,True,51,10.0002
g162,7,3,10,True,True,1299,14.8011,True,True,73,10.0001
g165,7,4,4,True,True,303,12.7759,True,True,9,10.0001
g166,7,4,5,True,True,567,13.7352,True,True,21,10.0
g167,7,4,6,True,True,915,15.0372,True,True,40,10.0001
g168,7,4,7,True,True,1347,17.0538,True,True,70,10.0001
g172,7,5,2,True,True,58,13.9552,True,False,0,0.0046
g169,7,4,8,True,True,1902,16.965,True,True,106,10.0002
g170,7,4,9,True,True,2523,18.6613,True,True,142,10.0003
g171,7,4,10,True,True,3266,19.9635,True,True,193,10.0002
g173,7,5,3,True,True,244,15.6862,True,True,2,10.0001
g174,7,5,4,True,True,570,18.3844,True,True,21,10.0
g175,7,5,5,False,True,0,16.0388,True,True,52,10.0002
g176,7,5,6,False,True,0,16.9601,True,True,95,10.0002
g177,7,5,7,False,True,0,19.2858,True,True,143,10.0001
g179,7,5,9,False,True,0,11.4804,True,True,280,10.0004
g181,8,2,2,True,False,0,0.5018,True,False,0,0.0002
g182,8,2,3,True,False,0,0.7602,True,False,0,0.0005
g183,8,2,4,True,False,0,1.2311,True,False,0,0.0001
g184,8,2,5,True,False,0,2.1665,True,False,0,0.0037
g180,7,5,10,False,True,0,11.4916,True,True,382,10.0005
